,ts_code,net_flow,net_flow_std,rank,change,ma_crossover,score
41,600030.SH,5673382.756666667,1.7890850724605412,6.24,57.831400000000045,71,24.88867521738164
42,600050.SH,18889537.01234568,2.5495240152057512,7.37037037037037,76.51850000000002,80,32.730047971543186
43,600352.SH,-14428460.8,0.6324532440379359,6.8,-18.4828,66,-1.687480267886192
44,601601.SH,-12461395.4,0.7456354227677219,8.153846153846153,40.378000000000014,79,16.299537037533938
45,601288.SH,15677479.717391305,2.364706752471203,8.065217391304348,18.4054,63,14.262696779152739
46,600660.SH,8535295.859649124,1.9537555304589773,7.43859649122807,30.8178,55,16.718887293131317
47,600881.SH,-1543517.3846153845,1.3738347804948532,4.230769230769231,16.907,103,12.407450495330714
48,600009.SH,-20912537.09578544,0.25936860627898994,6.540229885057471,46.31280000000002,50,16.36389984182548
49,601989.SH,-3200699.0833333335,1.2784828744463683,6.833333333333333,9.8241,97,9.356011956672438
50,600887.SH,1891807.8133333332,1.5714985646014565,5.75,-4.732200000000001,71,5.564835693804369
51,600779.SH,60437456.07692308,4.940132889429091,7.769230769230769,0.42169999999999996,80,16.993062514441117
52,600487.SH,7502655.590909091,1.8943388606013767,5.7727272727272725,-1.8516999999999992,76,7.492961127258676
53,600016.SH,-3838800.0972972973,1.2417674388486872,6.416216216216216,25.528199999999995,121,14.520519073302816
54,600000.SH,4983868.811764706,1.7494114090690882,7.458823529411765,24.009600000000006,96,14.879349521324913
55,600690.SH,14569685.45145631,2.300965827231561,6.815533980582524,107.90889999999996,66,41.23246068557817
56,600019.SH,19175722.48275862,2.5659907249868015,6.655172413793103,48.563300000000005,78,24.495927692201782
57,601006.SH,24448432.666666668,2.869375059043739,6.604166666666667,-1.408199999999999,74,10.344831843797884
58,601155.SH,734826.0,1.5049274570095048,7.125,-1.2258999999999993,64,6.002012371028514
59,600276.SH,-18817144.126666665,0.37993457299262234,4.476666666666667,39.826799999999984,43,15.052510385644528
60,600547.SH,44326539.368421055,4.013133383259966,6.105263157894737,-4.499799999999999,67,12.80840751820095
