,index_code,con_code,trade_date,weight
240,399300.SZ,601117.SH,20200901,0.0826
241,399300.SZ,300003.SZ,20200901,0.2841
242,399300.SZ,300014.SZ,20200901,0.2656
243,399300.SZ,601877.SH,20200901,0.2144
244,399300.SZ,300015.SZ,20200901,0.6278
245,399300.SZ,300033.SZ,20200901,0.212
246,399300.SZ,002352.SZ,20200901,0.6495
247,399300.SZ,601688.SH,20200901,0.746
248,399300.SZ,002410.SZ,20200901,0.3695
249,399300.SZ,300059.SZ,20200901,0.9836
250,399300.SZ,002415.SZ,20200901,0.8204
251,399300.SZ,002422.SZ,20200901,0.1507
252,399300.SZ,002456.SZ,20200901,0.1933
253,399300.SZ,601012.SH,20200901,1.0309
254,399300.SZ,002466.SZ,20200901,0.1181
255,399300.SZ,002460.SZ,20200901,0.2329
256,399300.SZ,300124.SZ,20200901,0.3454
257,399300.SZ,601018.SH,20200901,0.0692
258,399300.SZ,002468.SZ,20200901,0.0591
259,399300.SZ,601377.SH,20200901,0.2315
260,399300.SZ,601336.SH,20200901,0.2893
261,399300.SZ,002475.SZ,20200901,1.3863
262,399300.SZ,601818.SH,20200901,0.3548
263,399300.SZ,300122.SZ,20200901,0.4892
264,399300.SZ,600998.SH,20200901,0.0765
265,399300.SZ,002493.SZ,20200901,0.2179
266,399300.SZ,600958.SH,20200901,0.2451
267,399300.SZ,300136.SZ,20200901,0.2784
268,399300.SZ,300142.SZ,20200901,0.5527
269,399300.SZ,002508.SZ,20200901,0.1069
270,399300.SZ,600926.SH,20200901,0.1767
271,399300.SZ,600919.SH,20200901,0.3484
272,399300.SZ,300144.SZ,20200901,0.1719
273,399300.SZ,000166.SZ,20200901,0.2971
274,399300.SZ,002736.SZ,20200901,0.2341
275,399300.SZ,601211.SH,20200901,0.5087
276,399300.SZ,601933.SH,20200901,0.1946
277,399300.SZ,002555.SZ,20200901,0.3404
278,399300.SZ,002558.SZ,20200901,0.0737
279,399300.SZ,601216.SH,20200901,0.1782
280,399300.SZ,601992.SH,20200901,0.0635
281,399300.SZ,603156.SH,20200901,0.0696
282,399300.SZ,002594.SZ,20200901,0.4919
283,399300.SZ,002601.SZ,20200901,0.1353
284,399300.SZ,002607.SZ,20200901,0.1366
285,399300.SZ,002602.SZ,20200901,0.1981
286,399300.SZ,002230.SZ,20200901,0.3425
287,399300.SZ,601669.SH,20200901,0.1811
288,399300.SZ,601100.SH,20200901,0.1525
289,399300.SZ,601225.SH,20200901,0.1894
290,399300.SZ,601555.SH,20200901,0.196
291,399300.SZ,601800.SH,20200901,0.1618
292,399300.SZ,002157.SZ,20200901,0.1874
293,399300.SZ,601360.SH,20200901,0.1104
294,399300.SZ,601231.SH,20200901,0.0898
295,399300.SZ,300347.SZ,20200901,0.3422
296,399300.SZ,603993.SH,20200901,0.1792
297,399300.SZ,603288.SH,20200901,1.0644
298,399300.SZ,601238.SH,20200901,0.0574
299,399300.SZ,002714.SZ,20200901,0.7736
